policy_grad,value_grad,val_loss,exp_var,true_var,pi_loss,avg_rew
-0.0057826517,inf,24451.607,0.0,0.0,0.0,0.0
-0.007871414,inf,32709.549,0.0,0.0,0.0,0.0
-0.0073685283,inf,26926.486,0.0,0.0,0.0,0.0
-0.007929534,inf,17819.781,0.0,0.0,0.0,0.0
-0.01119055,inf,21805.295,0.0,0.0,0.0,0.0
-0.0079815015,inf,27244.99,0.0,0.0,0.0,0.0
-0.0056007714,inf,24909.861,0.0,0.0,0.0,0.0
-0.003969467,inf,17557.574,0.0,0.0,0.0,0.0
-0.008208378,inf,20648.012,0.0,0.0,0.0,0.0
-0.004025085,inf,20920.795,0.0,0.0,0.0,0.0
-0.0061951624,inf,17612.338,0.0,0.0,0.0,0.0
-0.0041817613,inf,16570.057,0.0,0.0,0.0,0.0
-0.005683604,inf,18214.715,0.0,0.0,0.0,0.0
-0.00510758,inf,16182.833,0.0,0.0,0.0,0.0
-0.012216546,inf,16958.172,0.0,0.0,0.0,0.0
-0.004094473,inf,15885.377,0.0,0.0,0.0,0.0
-0.0082677435,inf,7901.861,0.0,0.0,0.0,0.0
-0.0130661,inf,13256.064,0.0,0.0,0.0,0.0
-0.0045657847,inf,11517.4795,0.0,0.0,0.0,0.0
-0.005500159,inf,11464.346,0.0,0.0,0.0,0.0
-0.0053112623,inf,11565.552,0.0,0.0,0.0,0.0
-0.010558577,inf,11383.259,0.0,0.0,0.0,0.0
-0.005092301,inf,9492.657,0.0,0.0,0.0,0.0
-0.0062986505,inf,11141.847,0.0,0.0,0.0,0.0
-0.0033119435,inf,12359.712,0.0,0.0,0.0,0.0
-0.010237692,inf,11708.802,0.0,0.0,0.0,0.0
-0.006427912,inf,11332.57,0.0,0.0,0.0,0.0
-0.0066157347,inf,6843.022,0.0,0.0,0.0,0.0
-0.006965132,inf,7889.2837,0.0,0.0,0.0,0.0
-0.0047201416,inf,7161.3784,0.0,0.0,0.0,0.0
-0.0053358423,inf,6626.939,0.0,0.0,0.0,0.0
-0.004835309,inf,4531.9336,0.0,0.0,0.0,0.0
-0.004574533,inf,4604.2695,0.0,0.0,0.0,0.0
-0.0057599517,inf,3917.0776,0.0,0.0,0.0,0.0
-0.0052832575,inf,4027.064,0.0,0.0,0.0,0.0
-0.004750475,inf,4339.604,0.0,0.0,0.0,0.0
-0.004839688,inf,2804.256,0.0,0.0,0.0,0.0
-0.004502451,inf,2306.8547,0.0,0.0,0.0,0.0
-0.0044884305,inf,2868.5742,0.0,0.0,0.0,0.0
-0.005987294,inf,2592.8948,0.0,0.0,0.0,0.0
-0.007975707,inf,2133.1917,0.0,0.0,0.0,0.0
-0.0041673915,inf,4037.6184,0.0,0.0,0.0,0.0
-0.012998627,inf,5352.4604,0.0,0.0,0.0,0.0
-0.004533889,inf,2760.3167,0.0,0.0,0.0,0.0
-0.0041434676,inf,2228.0466,0.0,0.0,0.0,0.0
-0.004894886,inf,3345.0137,0.0,0.0,0.0,0.0
-0.0053090677,inf,2964.2427,0.0,0.0,0.0,0.0
-0.006693878,inf,2478.3225,0.0,0.0,0.0,0.0
-0.0047252574,inf,2319.3674,0.0,0.0,0.0,0.0
-0.005070664,inf,2172.9146,0.0,0.0,0.0,0.0
-0.007086627,inf,1934.177,0.0,0.0,0.0,0.0
-0.0048657344,inf,2217.0347,0.0,0.0,0.0,0.0
-0.004871484,inf,1875.7332,0.0,0.0,0.0,0.0
-0.0050215423,inf,2329.905,0.0,0.0,0.0,0.0
-0.0065136887,inf,3090.5383,0.0,0.0,0.0,0.0
-0.0034484402,inf,1937.1765,0.0,0.0,0.0,0.0
-0.0063763834,inf,2640.5774,0.0,0.0,0.0,0.0
-0.0051731756,inf,1586.1913,0.0,0.0,0.0,0.0
-0.005843229,inf,2893.0513,0.0,0.0,0.0,0.0
